game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2019_2019-11-28_bills_at_cowboys,2019,Week 13,2019-11-28,2019-11-28,Bills,Cowboys,regular,13.0,Cowboys,92,76,57,19,4,2,2,3,9,0,3,3,1,0,3,4,6,0.75,0.25,0.09210526315789473,0.16666666666666666,home
2019_2019-11-28_saints_at_falcons,2019,Week 13,2019-11-28,2019-11-28,Saints,Falcons,regular,13.0,Falcons,117,90,64,26,10,3,3,3,11,0,2,4,1,0,4,0,7,0.7111111111111111,0.28888888888888886,0.044444444444444446,0.14285714285714285,home
2019_2019-11-28_saints_at_falcons,2019,Week 13,2019-11-28,2019-11-28,Saints,Falcons,regular,13.0,Saints,64,49,31,18,0,4,4,0,3,0,2,8,1,0,2,2,7,0.6326530612244898,0.3673469387755102,0.08163265306122448,0.14285714285714285,away
2019_2019-12-01_49ers_at_ravens,2019,Week 13,2019-12-01,2019-12-01,49ers,Ravens,regular,13.0,49ers,72,55,26,29,2,2,2,1,6,0,2,5,1,0,1,4,5,0.4727272727272727,0.5272727272727272,0.09090909090909091,0.2,away
2019_2019-12-01_49ers_at_ravens,2019,Week 13,2019-12-01,2019-12-01,49ers,Ravens,regular,13.0,Ravens,78,63,25,38,1,2,2,1,4,0,2,6,1,0,0,6,4,0.3968253968253968,0.6031746031746031,0.09523809523809523,0.25,home
2019_2019-12-01_browns_at_steelers,2019,Week 13,2019-12-01,2019-12-01,Browns,Steelers,regular,13.0,Browns,85,66,41,25,5,4,2,2,7,0,1,4,1,0,3,3,6,0.6212121212121212,0.3787878787878788,0.09090909090909091,0.16666666666666666,away
2019_2019-12-01_browns_at_steelers,2019,Week 13,2019-12-01,2019-12-01,Browns,Steelers,regular,13.0,Steelers,79,56,24,32,1,4,2,1,11,0,2,6,1,0,3,3,6,0.42857142857142855,0.5714285714285714,0.10714285714285714,0.16666666666666666,home
2019_2019-12-01_buccaneers_at_jaguars,2019,Week 13,2019-12-01,2019-12-01,Buccaneers,Jaguars,regular,13.0,Buccaneers,94,72,40,32,4,4,2,2,9,0,2,6,1,0,7,1,6,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.16666666666666666,away
2019_2019-12-01_buccaneers_at_jaguars,2019,Week 13,2019-12-01,2019-12-01,Buccaneers,Jaguars,regular,13.0,Jaguars,86,68,51,18,5,4,1,3,12,0,2,3,1,0,3,1,6,0.75,0.2647058823529412,0.058823529411764705,0.16666666666666666,home
2019_2019-12-01_chargers_at_broncos,2019,Week 13,2019-12-01,2019-12-01,Chargers,Broncos,regular,13.0,Broncos,76,56,30,26,0,4,3,2,4,0,2,7,1,0,2,2,5,0.5357142857142857,0.4642857142857143,0.07142857142857142,0.2,home
2019_2019-12-01_chargers_at_broncos,2019,Week 13,2019-12-01,2019-12-01,Chargers,Broncos,regular,13.0,Chargers,84,62,33,29,3,4,3,1,6,0,2,6,1,0,2,3,5,0.532258064516129,0.46774193548387094,0.08064516129032258,0.2,away
2019_2019-12-01_eagles_at_dolphins,2019,Week 13,2019-12-01,2019-12-01,Eagles,Dolphins,regular,13.0,Dolphins,90,71,51,20,4,3,1,1,8,0,4,7,1,0,4,2,7,0.7183098591549296,0.28169014084507044,0.08450704225352113,0.14285714285714285,home
2019_2019-12-01_eagles_at_dolphins,2019,Week 13,2019-12-01,2019-12-01,Eagles,Dolphins,regular,13.0,Eagles,89,69,50,20,2,3,4,1,9,0,3,8,1,0,5,1,7,0.7246376811594203,0.2898550724637681,0.08695652173913043,0.14285714285714285,away
2019_2019-12-01_jets_at_bengals,2019,Week 13,2019-12-01,2019-12-01,Jets,Bengals,regular,13.0,Bengals,84,64,39,25,1,4,3,0,3,0,2,6,1,0,1,0,7,0.609375,0.390625,0.015625,0.14285714285714285,home
2019_2019-12-01_jets_at_bengals,2019,Week 13,2019-12-01,2019-12-01,Jets,Bengals,regular,13.0,Jets,93,72,54,18,5,7,2,0,9,0,0,2,1,0,2,0,6,0.75,0.25,0.027777777777777776,0.16666666666666666,away
