Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2017,Week 9,2017-11-05,Ravens,Titans,home,-110,0.9108118207864584,0.5238095238095238,0.3870022969769345,8.301988240445002,43.64395155506664
2019,Week 2,2019-09-15,Cardinals,Ravens,home,-110,0.910652642901492,0.5238095238095238,0.3868431190919681,7.233981050429218,37.28761833000627
2019,Week 8,2019-10-27,Bengals,Rams,home,-110,0.9106061642830844,0.5238095238095238,0.3867966404735605,12.480301582135583,36.65641889989488
2020,Week 17,2021-01-03,Jets,Patriots,home,-110,0.9098967921296266,0.5238095238095238,0.3860872683201027,14.114091820216242,43.01627462242627
2020,Week 8,2020-11-01,Rams,Dolphins,home,-110,0.9098052967049288,0.5238095238095238,0.385995772895405,10.23655463970436,44.284287094909565
2018,Week 3,2018-09-23,Chargers,Rams,home,-110,0.9096281966919196,0.5238095238095238,0.3858186728823958,11.901681708432916,57.84607517808991
2020,Week 10,2020-11-15,Bills,Cardinals,home,-110,0.9095184967392372,0.5238095238095238,0.3857089729297134,3.645748566258045,63.13074106898001
2018,Week 13,2018-12-02,Browns,Texans,home,-110,0.9094406015257802,0.5238095238095238,0.3856310777162564,11.051057031513404,43.12589529541967
2018,Week 12,2018-11-25,49ers,Buccaneers,home,-110,0.9086729620807776,0.5238095238095238,0.3848634382712538,13.2209438066401,36.79636613535993
2019,Week 2,2019-09-15,Jaguars,Texans,home,-110,0.9086637117369892,0.5238095238095238,0.3848541879274654,3.760207404203439,23.9783203554593
2019,Week 4,2019-09-29,Cowboys,Saints,home,-110,0.9075218359034756,0.5238095238095238,0.3837123120939517,8.07050576514758,22.12048836831199
2020,Week 14,2020-12-13,Steelers,Bills,home,-110,0.9069615334995426,0.5238095238095238,0.3831520096900187,10.893657346614075,40.06004770401183
2021,Week 1,2021-09-12,Vikings,Bengals,home,-110,0.9069065811918022,0.5238095238095238,0.3830970573822784,8.963469867040773,50.81826790517423
2019,Week 12,2019-11-24,Jaguars,Titans,home,-110,0.9065623816993365,0.5238095238095238,0.3827528578898126,14.66336802843864,62.50231776409653
2021,Week 3,2021-09-26,Bears,Browns,home,-110,0.9062259791750072,0.5238095238095238,0.3824164553654834,15.072305386390736,35.05307216015946
2017,Week 9,2017-11-05,Buccaneers,Saints,home,-110,0.9060902908936554,0.5238095238095238,0.3822807670841316,17.693449404850927,39.62862763756058
2019,Week 17,2019-12-29,,Cowboys,home,-110,0.9050065608529608,0.5238095238095238,0.381197037043437,17.39150931685757,51.99084302345141
